Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Jednostka miary;"2002";"2011";
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane stale wg powierzchni użytkowej na osobę (Wymiary: Mieszkania / ludność; Powierzchnia)";"ludność";"ogółem";"";"-";;622968;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane stale wg powierzchni użytkowej na osobę (Wymiary: Mieszkania / ludność; Powierzchnia)";"ludność";"poniżej 7,0 m2/osobę";"";"-";;13564;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane stale wg powierzchni użytkowej na osobę (Wymiary: Mieszkania / ludność; Powierzchnia)";"ludność";"7,0 - 9,9 m2/osobę";"";"-";;41877;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane stale wg powierzchni użytkowej na osobę (Wymiary: Mieszkania / ludność; Powierzchnia)";"ludność";"10,0 - 14,9 m2/osobę";"";"-";;125524;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane stale wg powierzchni użytkowej na osobę (Wymiary: Mieszkania / ludność; Powierzchnia)";"ludność";"15,0 - 19,9 m2/osobę";"";"-";;129220;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane stale wg powierzchni użytkowej na osobę (Wymiary: Mieszkania / ludność; Powierzchnia)";"ludność";"20,0 - 29,9 m2/osobę";"";"-";;142354;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane stale wg powierzchni użytkowej na osobę (Wymiary: Mieszkania / ludność; Powierzchnia)";"ludność";"30,0 i więcej m2/osobę";"";"-";;161514;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb (Wymiary: Liczba izb)";"mieszkania";"";"";"-";;254843;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb (Wymiary: Liczba izb)";"1 izba";"";"";"-";;12280;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb (Wymiary: Liczba izb)";"2 izby";"";"";"-";;38976;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb (Wymiary: Liczba izb)";"3 izby";"";"";"-";;86096;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb (Wymiary: Liczba izb)";"4 izby";"";"";"-";;68519;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb (Wymiary: Liczba izb)";"5 izb i więcej";"";"";"-";;45108;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb (Wymiary: Liczba izb)";"izby";"";"";"-";;981106;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"ogółem";"mieszkania";"";"-";;254843;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"ogółem";"1 izba";"";"-";;12280;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"ogółem";"2 izby";"";"-";;38976;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"ogółem";"3 izby";"";"-";;86096;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"ogółem";"4 izby";"";"-";;68519;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"ogółem";"5 izb i więcej";"";"-";;45108;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"ogółem";"izby";"";"-";;981106;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"przed 1918";"mieszkania";"";"-";;40014;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"przed 1918";"1 izba";"";"-";;3535;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"przed 1918";"2 izby";"";"-";;14388;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"przed 1918";"3 izby";"";"-";;13327;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"przed 1918";"4 izby";"";"-";;6584;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"przed 1918";"5 izb i więcej";"";"-";;2139;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"przed 1918";"izby";"";"-";;110460;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1918 - 1944";"mieszkania";"";"-";;32020;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1918 - 1944";"1 izba";"";"-";;760;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1918 - 1944";"2 izby";"";"-";;4039;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1918 - 1944";"3 izby";"";"-";;11035;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1918 - 1944";"4 izby";"";"-";;9567;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1918 - 1944";"5 izb i więcej";"";"-";;6540;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1918 - 1944";"izby";"";"-";;118215;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1945 - 1970";"mieszkania";"";"-";;42143;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1945 - 1970";"1 izba";"";"-";;5042;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1945 - 1970";"2 izby";"";"-";;9851;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1945 - 1970";"3 izby";"";"-";;15853;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1945 - 1970";"4 izby";"";"-";;8628;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1945 - 1970";"5 izb i więcej";"";"-";;2745;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1945 - 1970";"izby";"";"-";;122641;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1971 - 1978";"mieszkania";"";"-";;38889;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1971 - 1978";"1 izba";"";"-";;740;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1971 - 1978";"2 izby";"";"-";;2038;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1971 - 1978";"3 izby";"";"-";;13806;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1971 - 1978";"4 izby";"";"-";;16452;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1971 - 1978";"5 izb i więcej";"";"-";;5833;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1971 - 1978";"izby";"";"-";;145870;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1979 - 1988";"mieszkania";"";"-";;34184;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1979 - 1988";"1 izba";"";"-";;450;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1979 - 1988";"2 izby";"";"-";;1849;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1979 - 1988";"3 izby";"";"-";;12533;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1979 - 1988";"4 izby";"";"-";;12883;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1979 - 1988";"5 izb i więcej";"";"-";;6435;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1979 - 1988";"izby";"";"-";;131024;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1989 - 2002";"mieszkania";"";"-";;34896;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1989 - 2002";"1 izba";"";"-";;1413;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1989 - 2002";"2 izby";"";"-";;3874;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1989 - 2002";"3 izby";"";"-";;11806;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1989 - 2002";"4 izby";"";"-";;10847;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1989 - 2002";"5 izb i więcej";"";"-";;6814;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"1989 - 2002";"izby";"";"-";;130912;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"2003 - 2007";"mieszkania";"";"-";;14259;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"2003 - 2007";"1 izba";"";"-";;216;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"2003 - 2007";"2 izby";"";"-";;1278;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"2003 - 2007";"3 izby";"";"-";;3723;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"2003 - 2007";"4 izby";"";"-";;1458;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"2003 - 2007";"5 izb i więcej";"";"-";;6722;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"2003 - 2007";"izby";"";"-";;103907;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"2008 - 2011 (łącznie z budynkami będącymi w budowie)";"mieszkania";"";"-";;12068;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"2008 - 2011 (łącznie z budynkami będącymi w budowie)";"1 izba";"";"-";;2;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"2008 - 2011 (łącznie z budynkami będącymi w budowie)";"2 izby";"";"-";;1044;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"2008 - 2011 (łącznie z budynkami będącymi w budowie)";"3 izby";"";"-";;2663;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"2008 - 2011 (łącznie z budynkami będącymi w budowie)";"4 izby";"";"-";;1310;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"2008 - 2011 (łącznie z budynkami będącymi w budowie)";"5 izb i więcej";"";"-";;6935;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i okresu budowy budynku (Wymiary: Okres budowy; Liczba izb)";"2008 - 2011 (łącznie z budynkami będącymi w budowie)";"izby";"";"-";;103486;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"ogółem";"mieszkania";"";"-";;254843;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"ogółem";"1 izba";"";"-";;12280;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"ogółem";"2 izby";"";"-";;38976;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"ogółem";"3 izby";"";"-";;86096;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"ogółem";"4 izby";"";"-";;68519;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"ogółem";"5 izb i więcej";"";"-";;45108;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"ogółem";"izby";"";"-";;981106;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"osób fizycznych";"mieszkania";"";"-";;114468;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"osób fizycznych";"1 izba";"";"-";;4467;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"osób fizycznych";"2 izby";"";"-";;13788;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"osób fizycznych";"3 izby";"";"-";;36059;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"osób fizycznych";"4 izby";"";"-";;31909;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"osób fizycznych";"5 izb i więcej";"";"-";;27757;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"osób fizycznych";"izby";"";"-";;445716;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"gminy";"mieszkania";"";"-";;42091;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"gminy";"1 izba";"";"-";;3915;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"gminy";"2 izby";"";"-";;14100;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"gminy";"3 izby";"";"-";;14765;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"gminy";"4 izby";"";"-";;7816;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"gminy";"5 izb i więcej";"";"-";;1477;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg liczby izb i rodzaju podmiotów będących właścicielami mieszkań (Wymiary: Rodzaje własności; Liczba izb)";"gminy";"izby";"";"-";;115372;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg okresu budowy budynku (Wymiary: Okres budowy; Wyszczególnienie)";"ogółem";"mieszkania ogółem";"";"-";;254843;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg okresu budowy budynku (Wymiary: Okres budowy; Wyszczególnienie)";"ogółem";"powierzchnia użytkowa mieszkania ogółem";"";"m2";;17608252;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg okresu budowy budynku (Wymiary: Okres budowy; Wyszczególnienie)";"ogółem";"mieszkania zamieszkane stale";"";"-";;254430;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg okresu budowy budynku (Wymiary: Okres budowy; Wyszczególnienie)";"ogółem";"powierzchnia użytkowa mieszkania zamieszkane stale";"";"m2";;17565672;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg okresu budowy budynku (Wymiary: Okres budowy; Wyszczególnienie)";"ogółem";"ludność w mieszkaniach zamieszkanych stale";"";"osoba";;622968;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg okresu budowy budynku (Wymiary: Okres budowy; Wyszczególnienie)";"przed 1918";"mieszkania ogółem";"";"-";;40014;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg okresu budowy budynku (Wymiary: Okres budowy; Wyszczególnienie)";"przed 1918";"powierzchnia użytkowa mieszkania ogółem";"";"m2";;2312964;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg okresu budowy budynku (Wymiary: Okres budowy; Wyszczególnienie)";"przed 1918";"mieszkania zamieszkane stale";"";"-";;39991;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg okresu budowy budynku (Wymiary: Okres budowy; Wyszczególnienie)";"przed 1918";"powierzchnia użytkowa mieszkania zamieszkane stale";"";"m2";;2311621;
"NARODOWE SPISY POWSZECHNE";"NSP 2011 - MIESZKANIA ZAMIESZKANE";"Mieszkania zamieszkane wg okresu budowy budynku (Wymiary: Okres budowy; Wyszczególnienie)";"przed 1918";"ludność w mieszkaniach zamieszkanych stale";"";"osoba";;104557;
